File: main
Build ID: 987c2a02c47d9fbd7685eb9a0f711410b42ed45c
Type: cpu
Time: 2026-02-06 12:21:32 IST
Duration: 30s, Total samples = 880ms ( 2.93%)
Showing nodes accounting for 880ms, 100% of 880ms total
      flat  flat%   sum%        cum   cum%
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/ast.NewDocument (inline)
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql/language/location.GetLocation
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/parser.Parse
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/parser.parseDocument
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/visitor.GetVisitFn
         0     0%   100%      130ms 14.77%  github.com/graphql-go/graphql/language/visitor.Visit
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/visitor.getFieldValue
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/visitor.isNode
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql/language/visitor.toSliceInterfaces
         0     0%   100%      280ms 31.82%  github.com/graphql-go/handler.(*Handler).ContextHandler
         0     0%   100%      280ms 31.82%  github.com/graphql-go/handler.(*Handler).ServeHTTP
         0     0%   100%       10ms  1.14%  github.com/graphql-go/handler.NewRequestOptions
         0     0%   100%       30ms  3.41%  github.com/lib/pq.(*conn).Exec
         0     0%   100%       30ms  3.41%  github.com/lib/pq.(*conn).ExecContext
         0     0%   100%       80ms  9.09%  github.com/lib/pq.(*conn).QueryContext
         0     0%   100%       60ms  6.82%  github.com/lib/pq.(*conn).prepareTo
         0     0%   100%       80ms  9.09%  github.com/lib/pq.(*conn).query
         0     0%   100%       20ms  2.27%  github.com/lib/pq.(*conn).readParseResponse
         0     0%   100%       40ms  4.55%  github.com/lib/pq.(*conn).recv1
         0     0%   100%       40ms  4.55%  github.com/lib/pq.(*conn).recv1Buf
         0     0%   100%       40ms  4.55%  github.com/lib/pq.(*conn).recvMessage
         0     0%   100%       60ms  6.82%  github.com/lib/pq.(*conn).send
         0     0%   100%       40ms  4.55%  github.com/lib/pq.(*conn).simpleQuery
         0     0%   100%       10ms  1.14%  github.com/lib/pq.(*rows).Next
         0     0%   100%       10ms  1.14%  github.com/lib/pq.(*stmt).Exec
         0     0%   100%       10ms  1.14%  github.com/lib/pq.(*stmt).ExecContext
         0     0%   100%       10ms  1.14%  github.com/lib/pq.(*stmt).exec
         0     0%   100%       10ms  1.14%  github.com/lib/pq.decode
         0     0%   100%       10ms  1.14%  github.com/lib/pq.textDecode
         0     0%   100%       10ms  1.14%  internal/abi.Name.Name
         0     0%   100%       10ms  1.14%  internal/poll.(*FD).Close
         0     0%   100%       50ms  5.68%  internal/poll.(*FD).Read
         0     0%   100%      100ms 11.36%  internal/poll.(*FD).Write
         0     0%   100%       10ms  1.14%  internal/poll.(*FD).decref
         0     0%   100%       10ms  1.14%  internal/poll.(*FD).destroy
         0     0%   100%       10ms  1.14%  internal/poll.(*SysFile).destroy (inline)
         0     0%   100%      150ms 17.05%  internal/poll.ignoringEINTRIO (inline)
         0     0%   100%       10ms  1.14%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
         0     0%   100%       10ms  1.14%  internal/runtime/maps.(*Map).growToSmall
         0     0%   100%       10ms  1.14%  internal/runtime/maps.(*table).grow
         0     0%   100%       10ms  1.14%  internal/runtime/maps.(*table).rehash
         0     0%   100%       10ms  1.14%  internal/runtime/maps.(*table).reset
         0     0%   100%       10ms  1.14%  internal/runtime/maps.NewEmptyMap (inline)
         0     0%   100%       20ms  2.27%  internal/runtime/maps.newGroups (inline)
         0     0%   100%       10ms  1.14%  internal/runtime/maps.newTable
         0     0%   100%       20ms  2.27%  internal/runtime/maps.newarray
         0     0%   100%       20ms  2.27%  internal/runtime/syscall.EpollWait
         0     0%   100%       40ms  4.55%  io.ReadAtLeast
         0     0%   100%       40ms  4.55%  io.ReadFull (inline)
         0     0%   100%       10ms  1.14%  log.(*Logger).output
         0     0%   100%       10ms  1.14%  log.Printf (inline)
         0     0%   100%      290ms 32.95%  main.loggingMiddleware.func1
         0     0%   100%       10ms  1.14%  net.(*conn).Close
         0     0%   100%       50ms  5.68%  net.(*conn).Read
         0     0%   100%       90ms 10.23%  net.(*conn).Write
         0     0%   100%       10ms  1.14%  net.(*netFD).Close
         0     0%   100%       50ms  5.68%  net.(*netFD).Read
         0     0%   100%       90ms 10.23%  net.(*netFD).Write
         0     0%   100%       30ms  3.41%  net/http.(*chunkWriter).Write
         0     0%   100%       20ms  2.27%  net/http.(*chunkWriter).writeHeader
         0     0%   100%       10ms  1.14%  net/http.(*conn).close
         0     0%   100%      370ms 42.05%  net/http.(*conn).serve
         0     0%   100%       10ms  1.14%  net/http.(*conn).serve.func1
         0     0%   100%       10ms  1.14%  net/http.(*connReader).Read
         0     0%   100%       10ms  1.14%  net/http.(*connReader).abortPendingRead
         0     0%   100%       10ms  1.14%  net/http.(*connReader).backgroundRead
         0     0%   100%       10ms  1.14%  net/http.(*response).Write
         0     0%   100%       50ms  5.68%  net/http.(*response).finishRequest
         0     0%   100%       10ms  1.14%  net/http.(*response).write
         0     0%   100%      290ms 32.95%  net/http.HandlerFunc.ServeHTTP
         0     0%   100%       30ms  3.41%  net/http.checkConnErrorWriter.Write
         0     0%   100%      300ms 34.09%  net/http.serverHandler.ServeHTTP
         0     0%   100%       10ms  1.14%  net/http.writeStatusLine
         0     0%   100%       10ms  1.14%  os.(*File).Write
         0     0%   100%       10ms  1.14%  os.(*File).write (inline)
         0     0%   100%       20ms  2.27%  os.Open (inline)
         0     0%   100%       20ms  2.27%  os.OpenFile
         0     0%   100%       30ms  3.41%  os.ReadFile
         0     0%   100%       20ms  2.27%  os.ignoringEINTR (inline)
         0     0%   100%       20ms  2.27%  os.open
         0     0%   100%       20ms  2.27%  os.openFileNolog
         0     0%   100%       20ms  2.27%  os.openFileNolog.func1 (inline)
         0     0%   100%       10ms  1.14%  os.statOrZero
         0     0%   100%       10ms  1.14%  reflect.(*MapIter).Value
         0     0%   100%       10ms  1.14%  reflect.(*rtype).Field
         0     0%   100%       10ms  1.14%  reflect.(*rtype).Name
         0     0%   100%       10ms  1.14%  reflect.(*rtype).String
         0     0%   100%       20ms  2.27%  reflect.Value.Index
         0     0%   100%       10ms  1.14%  reflect.Value.Len (inline)
         0     0%   100%       10ms  1.14%  reflect.ValueOf (inline)
         0     0%   100%       10ms  1.14%  reflect.copyVal
         0     0%   100%       10ms  1.14%  reflect.unsafe_New
         0     0%   100%       10ms  1.14%  regexp.(*Regexp).MatchString (inline)
         0     0%   100%       10ms  1.14%  regexp.(*Regexp).doExecute
         0     0%   100%       10ms  1.14%  regexp.(*Regexp).doMatch (inline)
         0     0%   100%       10ms  1.14%  regexp.(*Regexp).doOnePass
         0     0%   100%       30ms  3.41%  regexp.Compile (inline)
         0     0%   100%       30ms  3.41%  regexp.MustCompile
         0     0%   100%       30ms  3.41%  regexp.compile
         0     0%   100%       10ms  1.14%  regexp.newOnePassMachine (inline)
         0     0%   100%       20ms  2.27%  regexp/syntax.Parse (inline)
         0     0%   100%       20ms  2.27%  regexp/syntax.parse
         0     0%   100%       10ms  1.14%  runtime.(*_panic).nextFrame
         0     0%   100%       10ms  1.14%  runtime.(*_panic).nextFrame.func1
         0     0%   100%       10ms  1.14%  runtime.(*_panic).start
         0     0%   100%       30ms  3.41%  runtime.(*mcache).nextFree
         0     0%   100%       10ms  1.14%  runtime.(*mcache).refill
         0     0%   100%       10ms  1.14%  runtime.(*mcentral).uncacheSpan
         0     0%   100%       20ms  2.27%  runtime.(*mspan).typePointersOfUnchecked
         0     0%   100%       10ms  1.14%  runtime.(*spanSet).push
         0     0%   100%       10ms  1.14%  runtime.(*spanSetBlockAlloc).alloc
         0     0%   100%       30ms  3.41%  runtime.(*unwinder).init (inline)
         0     0%   100%       40ms  4.55%  runtime.(*unwinder).initAt
         0     0%   100%       30ms  3.41%  runtime.(*unwinder).next
         0     0%   100%       20ms  2.27%  runtime.adjustframe
         0     0%   100%       50ms  5.68%  runtime.callers
         0     0%   100%       50ms  5.68%  runtime.callers.func1
         0     0%   100%       40ms  4.55%  runtime.copystack
         0     0%   100%       10ms  1.14%  runtime.deductAssistCredit
         0     0%   100%       10ms  1.14%  runtime.entersyscall
         0     0%   100%       10ms  1.14%  runtime.entersyscall_sysmon
         0     0%   100%       10ms  1.14%  runtime.exitsyscall
         0     0%   100%       20ms  2.27%  runtime.funcspdelta (inline)
         0     0%   100%       10ms  1.14%  runtime.futexsleep
         0     0%   100%       50ms  5.68%  runtime.futexwakeup
         0     0%   100%       10ms  1.14%  runtime.gcAssistAlloc
         0     0%   100%       10ms  1.14%  runtime.gcAssistAlloc.func2
         0     0%   100%       10ms  1.14%  runtime.gcAssistAlloc1
         0     0%   100%       60ms  6.82%  runtime.gcBgMarkWorker
         0     0%   100%       60ms  6.82%  runtime.gcBgMarkWorker.func2
         0     0%   100%       60ms  6.82%  runtime.gcDrain
         0     0%   100%       60ms  6.82%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0%   100%       10ms  1.14%  runtime.gcDrainN
         0     0%   100%       10ms  1.14%  runtime.getitab
         0     0%   100%       40ms  4.55%  runtime.gopanic
         0     0%   100%       10ms  1.14%  runtime.gopreempt_m (inline)
         0     0%   100%       10ms  1.14%  runtime.goschedImpl
         0     0%   100%       30ms  3.41%  runtime.growslice
         0     0%   100%       10ms  1.14%  runtime.heapSetTypeNoHeader (inline)
         0     0%   100%       10ms  1.14%  runtime.mPark (inline)
         0     0%   100%       60ms  6.82%  runtime.mProf_Malloc
         0     0%   100%       10ms  1.14%  runtime.makemap_small
         0     0%   100%       40ms  4.55%  runtime.makeslice
         0     0%   100%       20ms  2.27%  runtime.makeslicecopy
         0     0%   100%      180ms 20.45%  runtime.mallocgc
         0     0%   100%       40ms  4.55%  runtime.mallocgcSmallNoscan
         0     0%   100%       20ms  2.27%  runtime.mallocgcSmallScanHeader
         0     0%   100%      100ms 11.36%  runtime.mallocgcSmallScanNoHeader
         0     0%   100%       10ms  1.14%  runtime.mapIterStart
         0     0%   100%       10ms  1.14%  runtime.mapaccess2_faststr
         0     0%   100%       10ms  1.14%  runtime.mapassign_fast64
         0     0%   100%       10ms  1.14%  runtime.mapassign_faststr
         0     0%   100%       40ms  4.55%  runtime.markroot
         0     0%   100%       40ms  4.55%  runtime.markroot.func1
         0     0%   100%       90ms 10.23%  runtime.mcall
         0     0%   100%       10ms  1.14%  runtime.morestack
         0     0%   100%       20ms  2.27%  runtime.netpoll
         0     0%   100%       20ms  2.27%  runtime.newarray
         0     0%   100%       20ms  2.27%  runtime.newproc
         0     0%   100%       20ms  2.27%  runtime.newproc.func1
         0     0%   100%       50ms  5.68%  runtime.newstack
         0     0%   100%       10ms  1.14%  runtime.notesleep
         0     0%   100%       50ms  5.68%  runtime.notewakeup
         0     0%   100%       90ms 10.23%  runtime.park_m
         0     0%   100%       60ms  6.82%  runtime.profilealloc
         0     0%   100%       10ms  1.14%  runtime.reentersyscall
         0     0%   100%       20ms  2.27%  runtime.resetspinning
         0     0%   100%       10ms  1.14%  runtime.scanframeworker
         0     0%   100%       40ms  4.55%  runtime.scanstack
         0     0%   100%      100ms 11.36%  runtime.schedule
         0     0%   100%       20ms  2.27%  runtime.shrinkstack
         0     0%   100%       20ms  2.27%  runtime.slicebytetostring
         0     0%   100%       40ms  4.55%  runtime.startm
         0     0%   100%       30ms  3.41%  runtime.stealWork
         0     0%   100%       10ms  1.14%  runtime.stkbucket
         0     0%   100%       10ms  1.14%  runtime.stopm
         0     0%   100%      160ms 18.18%  runtime.systemstack
         0     0%   100%       50ms  5.68%  runtime.tracebackPCs
         0     0%   100%       10ms  1.14%  runtime.typeAssert
         0     0%   100%       40ms  4.55%  runtime.wakep
         0     0%   100%       20ms  2.27%  runtime/pprof.(*profileBuilder).addCPUData
         0     0%   100%       40ms  4.55%  runtime/pprof.(*profileBuilder).readMapping
         0     0%   100%       10ms  1.14%  runtime/pprof.elfBuildID
         0     0%   100%       40ms  4.55%  runtime/pprof.newProfileBuilder
         0     0%   100%       10ms  1.14%  runtime/pprof.parseProcSelfMaps
         0     0%   100%       60ms  6.82%  runtime/pprof.profileWriter
         0     0%   100%       10ms  1.14%  slices.Sort[go.shape.[]int,go.shape.int] (inline)
         0     0%   100%       10ms  1.14%  slices.pdqsortOrdered[go.shape.int]
         0     0%   100%       10ms  1.14%  sort.Ints
         0     0%   100%       10ms  1.14%  strconv.AppendInt
         0     0%   100%       20ms  2.27%  strconv.ParseFloat
         0     0%   100%       20ms  2.27%  strconv.parseFloatPrefix
         0     0%   100%       20ms  2.27%  strings.Split (inline)
